feature_set,group,count,mean,median,std,min,max,q25,q75,IQR
add_back_dropped__ttl_mean,FN,9183,0.03246095897143067,0.05,0.02778121188597895,0.0,0.12050241159466545,0.0,0.05,0.05
add_back_dropped__ttl_mean,FP,0,,,,,,,,
add_back_dropped__ttl_mean,TN,65780,0.002684700799216076,0.0,0.013191129338853844,0.0,0.2237771706998072,0.0,0.0,0.0
add_back_dropped__ttl_min,actual_normal,65780,0.002684928612116215,0.0,0.013190095521064331,0.0,0.2187745003889572,0.0,0.0,0.0
add_back_dropped__ttl_min,actual_attack,16445,0.2681676263183157,0.055,0.28991752346765304,0.0,0.9884340324985016,0.043547438085163016,0.4149991605018638,0.37145172241670077
add_back_dropped__ttl_min,TP,7262,0.5662252311443203,0.5728265453911578,0.1739618005605298,0.39499776999279024,0.9884340324985016,0.4099991605018638,0.6949991605018637,0.2849999999999999
add_back_dropped__ttl_min,FN,9183,0.03246095897143068,0.05,0.027781211885978953,0.0,0.12050241159466551,0.0,0.05,0.05
add_back_dropped__ttl_min,FP,0,,,,,,,,
add_back_dropped__ttl_min,TN,65780,0.002684928612116215,0.0,0.013190095521064331,0.0,0.2187745003889572,0.0,0.0,0.0
add_back_dropped__ttl_max,actual_normal,65780,0.002684948431316359,0.0,0.013601890251818046,0.0,0.1549997026983748,0.0,0.000621603625088882,0.000621603625088882
add_back_dropped__ttl_max,actual_attack,16445,0.27173155369673135,0.05562160362508888,0.2944682587377075,0.0,0.9875467934431414,0.04562160362508888,0.42499883240495706,0.3793772287798682
add_back_dropped__ttl_max,TP,7262,0.5748775353452282,0.5382690558007956,0.1755808359320794,0.39999856752254337,0.9875467934431414,0.41999883240495706,0.7099988324049571,0.29000000000000004
add_back_dropped__ttl_max,FN,9183,0.03200095163516284,0.05,0.027461755078898566,0.0,0.1110101617130934,0.0,0.05,0.05
add_back_dropped__ttl_max,FP,0,,,,,,,,
add_back_dropped__ttl_max,TN,65780,0.002684948431316359,0.0,0.013601890251818046,0.0,0.1549997026983748,0.0,0.000621603625088882,0.000621603625088882
